label,direction,confidence,btc_price_entry,fear_greed_value,rsi14,technical_score,hour_utc,hour_sin,hour_cos,cvd_6m_pct,ema_trend_up,technical_bias_bullish,signal_technical_buy,signal_sentiment_pos,signal_fg_fear,signal_volume_high,classification
0,DOWN,0.6,64175.42,5.0,41.8,-1.5,20,-0.866025,0.5,,0,0,0,0,1,0,BET
0,DOWN,0.54,67955.91,9.0,40.98,-2.5,13,-0.258819,-0.965926,,0,0,0,0,1,0,NO_BET
1,DOWN,0.65,65812.24,5.0,59.38,3.5,9,0.707107,-0.707107,,0,1,0,0,1,0,BET
0,UP,0.65,64477.13,8.0,57.47,3.5,20,-0.866025,0.5,,0,1,0,0,1,0,SKIP
0,DOWN,0.6,64405.12,8.0,54.65,0.5,19,-0.965926,0.258819,,0,0,0,0,1,0,SKIP
0,DOWN,0.58,67523.93,9.0,24.8,-2.5,14,-0.5,-0.866025,,0,0,0,0,0,0,BET
1,UP,0.75,64141.85,8.0,56.12,1.5,17,-0.965926,-0.258819,,0,1,0,0,0,0,ALERT
0,DOWN,0.6,64152.8,8.0,42.62,-2.5,2,0.5,0.866025,,0,0,0,0,1,0,ALERT
0,UP,0.63,65859.55,11.0,40.4,5.0,12,0.0,-1.0,,0,1,0,0,0,0,SKIP
0,DOWN,0.51,64651.19,8.0,47.37,0.5,0,0.0,1.0,,0,0,0,0,1,0,SKIP
1,DOWN,0.52,63244.64,8.0,48.75,0.0,9,0.707107,-0.707107,,0,0,0,0,1,0,SKIP
0,DOWN,0.65,62833.18,8.0,34.51,-4.5,5,0.965926,0.258819,,0,0,0,0,1,0,ALERT
0,DOWN,0.55,64296.23,8.0,50.97,2.5,19,-0.965926,0.258819,,0,1,0,0,1,0,SKIP
0,UP,0.69,66049.39,11.0,38.9,5.0,13,-0.258819,-0.965926,,0,1,0,0,1,0,BET
1,UP,0.68,66078.83,11.0,34.7,5.0,13,-0.258819,-0.965926,,0,1,0,0,0,0,ALERT
1,UP,0.74,63252.9,8.0,55.46,5.0,8,0.866025,-0.5,,0,1,0,0,1,0,BET
1,DOWN,0.51,63132.85,8.0,46.68,-2.5,6,1.0,0.0,,0,0,0,0,1,0,SKIP
1,DOWN,0.65,67648.39,9.0,60.62,2.5,23,-0.258819,0.965926,,0,1,0,0,1,0,BET
0,UP,0.75,66088.21,11.0,85.57,2.5,1,0.258819,0.965926,,0,1,0,0,0,0,ALERT
1,DOWN,0.58,65515.06,11.0,58.49,1.5,10,0.5,-0.866025,,0,1,0,0,0,0,SKIP
1,DOWN,0.6,68210.0,9.0,70.56,2.5,11,0.258819,-0.965926,,0,1,0,0,1,0,BET
0,UP,0.62,64928.73,5.0,65.89,4.5,22,-0.5,0.866025,,0,1,0,0,1,0,ALERT
1,DOWN,0.51,63242.24,8.0,51.59,1.5,12,0.0,-1.0,,0,1,0,0,1,0,SKIP
1,UP,0.7,65094.99,5.0,63.49,4.5,6,1.0,0.0,,0,1,0,0,1,0,BET
1,UP,0.76,66542.58,11.0,57.7,6.0,14,-0.5,-0.866025,,0,1,0,0,0,0,ALERT
1,UP,0.75,63974.12,8.0,31.97,-4.5,21,-0.707107,0.707107,,0,0,0,0,0,0,SKIP
0,DOWN,0.67,66121.21,5.0,45.4,-4.5,12,0.0,-1.0,,0,0,0,0,1,0,BET
0,UP,0.58,67625.13,9.0,51.5,2.0,16,-0.866025,-0.5,,0,1,0,0,1,0,BET
1,DOWN,0.65,65015.99,11.0,22.52,-2.5,5,0.965926,0.258819,,0,0,0,0,1,0,SKIP
1,UP,0.62,67617.75,9.0,22.72,-1.5,13,-0.258819,-0.965926,,0,0,0,0,1,0,BET
0,UP,0.56,65694.95,5.0,48.79,0.0,16,-0.866025,-0.5,,0,0,0,0,1,0,NO_BET
1,UP,0.65,64926.52,8.0,60.78,4.5,0,0.0,1.0,,0,1,0,0,1,0,BET
0,DOWN,0.52,62881.53,8.0,44.71,-1.5,14,-0.5,-0.866025,,0,0,0,0,1,0,SKIP
0,DOWN,0.52,62628.86,8.0,26.16,-2.5,13,-0.258819,-0.965926,,0,0,0,0,1,0,SKIP
0,DOWN,0.66,66127.84,5.0,44.61,-5.0,14,-0.5,-0.866025,,0,0,0,0,1,0,BET
1,UP,0.72,65827.0,11.0,35.0,5.0,12,0.0,-1.0,,0,1,0,0,0,0,ALERT
1,UP,0.72,63329.48,8.0,55.95,4.5,8,0.866025,-0.5,,0,1,0,0,1,0,ALERT
1,DOWN,0.51,63007.33,8.0,48.51,0.5,13,-0.258819,-0.965926,,0,0,0,0,1,0,SKIP
0,DOWN,0.6,65412.25,5.0,40.63,-3.5,16,-0.866025,-0.5,,0,0,0,0,1,0,BET
0,UP,0.7,63298.97,8.0,57.28,4.0,10,0.5,-0.866025,,0,1,0,0,1,0,BET
1,DOWN,0.58,66031.45,11.0,87.96,2.5,1,0.258819,0.965926,,0,1,0,0,0,0,SKIP
0,DOWN,0.65,64149.52,11.0,50.51,1.5,1,0.258819,0.965926,,0,1,0,0,1,0,SKIP
0,DOWN,0.52,64789.21,5.0,52.96,0.5,23,-0.258819,0.965926,,0,0,0,0,1,0,SKIP
0,DOWN,0.65,67506.29,9.0,52.75,1.5,22,-0.5,0.866025,,0,1,0,0,1,0,BET
1,UP,0.76,66213.78,11.0,30.3,5.0,13,-0.258819,-0.965926,,0,1,0,0,0,0,BET
0,UP,0.69,64942.07,8.0,61.26,4.5,0,0.0,1.0,,0,1,0,0,1,0,BET
0,DOWN,0.65,63060.21,8.0,44.34,-3.5,7,0.965926,-0.258819,,0,0,0,0,1,0,ALERT
0,UP,0.56,65401.18,5.0,41.44,-1.5,17,-0.965926,-0.258819,,0,0,0,0,1,0,BET
0,UP,0.56,68040.8,9.0,49.88,-1.5,13,-0.258819,-0.965926,,0,0,0,0,1,0,BET
1,UP,0.62,63164.16,8.0,49.66,-3.5,10,0.5,-0.866025,,0,0,0,0,1,0,ALERT
1,DOWN,0.59,67626.46,9.0,37.04,-1.0,14,-0.5,-0.866025,,0,0,0,0,1,0,NO_BET
1,UP,0.51,63241.11,8.0,54.34,3.5,12,0.0,-1.0,,0,1,0,0,1,0,SKIP
0,DOWN,0.74,63146.12,8.0,45.56,-5.0,10,0.5,-0.866025,,0,0,0,0,1,0,BET
1,UP,0.75,66201.27,11.0,43.3,5.0,13,-0.258819,-0.965926,,0,1,0,0,0,0,ALERT
0,DOWN,0.68,67344.11,9.0,31.03,-4.5,15,-0.707107,-0.707107,,0,0,0,0,1,0,BET
1,UP,0.75,64440.93,8.0,55.12,3.5,20,-0.866025,0.5,,0,1,0,0,0,0,ALERT
1,DOWN,0.55,64173.69,8.0,53.67,1.5,23,-0.258819,0.965926,,0,1,0,0,0,0,SKIP
1,DOWN,0.62,68234.02,9.0,72.92,2.5,11,0.258819,-0.965926,,0,1,0,0,1,0,BET
1,DOWN,0.65,68027.23,9.0,39.49,-4.5,12,0.0,-1.0,,0,0,0,0,1,0,BET
0,UP,0.6,68054.78,9.0,41.21,-2.5,12,0.0,-1.0,,0,0,0,0,1,0,BET
0,DOWN,0.62,63153.76,8.0,34.15,-4.5,4,0.866025,0.5,,0,0,0,0,1,0,ALERT
0,DOWN,0.65,67552.18,9.0,60.47,2.5,22,-0.5,0.866025,,0,1,0,0,1,0,BET
1,UP,0.58,64787.09,11.0,16.85,-1.5,5,0.965926,0.258819,,0,0,0,0,0,0,SKIP
1,UP,0.58,68186.45,9.0,59.42,2.5,11,0.258819,-0.965926,,0,1,0,0,1,0,BET
1,UP,0.75,63871.07,8.0,31.42,-3.5,21,-0.707107,0.707107,,0,0,0,0,0,0,SKIP
0,DOWN,0.6,64232.0,5.0,34.98,-2.5,19,-0.965926,0.258819,,0,0,0,0,1,0,BET
0,UP,0.67,67748.4,9.0,56.3,4.5,15,-0.707107,-0.707107,,0,1,0,0,1,0,BET
1,DOWN,0.7,63657.26,8.0,33.59,-4.5,3,0.707107,0.707107,,0,0,0,0,1,0,BET
0,UP,0.75,64816.59,5.0,44.06,-1.5,18,-1.0,-0.0,,0,0,0,0,0,0,BET
1,DOWN,0.7,67493.78,9.0,39.64,-4.5,17,-0.965926,-0.258819,,0,0,0,0,1,0,BET
1,DOWN,0.62,67654.8,9.0,30.11,-4.5,14,-0.5,-0.866025,,0,0,0,0,1,0,BET
0,UP,0.62,65399.69,5.0,69.03,4.5,6,1.0,0.0,,0,1,0,0,1,0,BET
1,DOWN,0.58,65524.02,11.0,60.24,1.5,10,0.5,-0.866025,,0,1,0,0,0,0,SKIP
0,UP,0.67,64411.65,8.0,66.2,5.0,17,-0.965926,-0.258819,,0,1,0,0,1,0,ALERT
0,DOWN,0.51,64674.9,5.0,48.77,0.0,22,-0.5,0.866025,,0,0,0,0,1,0,SKIP
1,DOWN,0.65,67215.71,5.0,31.34,-3.5,0,0.0,1.0,,0,0,0,0,1,0,BET
1,DOWN,0.51,64094.16,8.0,48.0,-0.5,23,-0.258819,0.965926,,0,0,0,0,1,0,SKIP
1,DOWN,0.68,65209.08,11.0,30.71,-4.5,5,0.965926,0.258819,,0,0,0,0,0,0,ALERT
0,DOWN,0.5,65360.66,50.0,45.02,0.5,10,0.5,-0.866025,,0,0,0,0,0,0,SKIP
0,DOWN,0.5,0.0,50.0,52.97,1.0,10,0.5,-0.866025,,0,1,0,0,0,0,NO_BET
1,UP,0.56,66230.05,5.0,51.71,1.5,13,-0.258819,-0.965926,,0,1,0,0,1,0,BET
1,DOWN,0.62,63250.48,8.0,51.3,3.5,7,0.965926,-0.258819,,0,1,0,0,1,0,ALERT
1,DOWN,0.62,63167.3,8.0,49.07,0.5,10,0.5,-0.866025,,0,0,0,0,1,0,SKIP
0,UP,0.55,67616.97,9.0,48.02,-0.5,16,-0.866025,-0.5,,0,0,0,0,0,0,NO_BET
1,UP,0.75,64285.04,8.0,57.94,3.5,18,-1.0,-0.0,,0,1,0,0,0,0,ALERT
0,UP,0.67,64639.4,5.0,58.33,3.5,21,-0.707107,0.707107,,0,1,0,0,1,0,BET
1,DOWN,0.58,67620.38,9.0,47.7,-0.5,16,-0.866025,-0.5,,0,0,0,0,0,0,NO_BET
1,DOWN,0.51,65389.64,11.0,47.53,1.5,10,0.5,-0.866025,,0,1,0,0,1,0,SKIP
0,DOWN,0.75,67364.22,9.0,39.12,-2.5,17,-0.965926,-0.258819,,0,0,0,0,0,0,BET
0,DOWN,0.7,62952.07,8.0,35.48,-4.5,13,-0.258819,-0.965926,,0,0,0,0,1,0,ALERT
0,UP,0.75,66497.98,11.0,37.8,6.0,13,-0.258819,-0.965926,,0,1,0,0,0,1,ALERT
0,DOWN,0.7,63050.88,8.0,45.04,-4.5,7,0.965926,-0.258819,,0,0,0,0,1,0,ALERT
0,DOWN,0.52,63196.13,8.0,50.75,-2.5,12,0.0,-1.0,,0,0,0,0,1,0,SKIP
1,UP,0.61,65297.3,5.0,69.74,4.5,6,1.0,0.0,,0,1,0,0,1,0,BET
1,DOWN,0.52,64297.58,8.0,47.41,-0.5,2,0.5,0.866025,,0,0,0,0,1,0,SKIP
0,UP,0.75,64061.39,11.0,46.69,-0.5,0,0.0,1.0,,0,0,0,0,0,0,ALERT
1,UP,0.63,64263.26,8.0,63.56,3.5,17,-0.965926,-0.258819,,0,1,0,0,0,0,ALERT
1,DOWN,0.68,67539.16,9.0,43.17,-5.0,16,-0.866025,-0.5,,0,0,0,0,1,0,BET
0,UP,0.6,64868.07,8.0,57.79,2.5,0,0.0,1.0,,0,1,0,0,1,0,BET
1,UP,0.75,66078.38,11.0,31.1,5.0,13,-0.258819,-0.965926,,0,1,0,0,0,0,ALERT
